name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
パーシュース　ナーセリー勤務タイムVer.,アズールレーン,AZUR LANEHMS Perseus,2024年5月発売,"30,580円（税抜27,800円）",1/7 スケール 全高：約210mm,目出ル金原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/541/,https://alter-web.jp/blog_alter/2023/263/
大鳳　春の暁に鳳歌うVer.,アズールレーン,AZUR LANEIJN Taihou,2024年3月発売,"38,280円（税抜34,800円）",1/7 スケール 全高：約250mm（台座含む）,ヤドカリ＋DUTCH＋柳生 敏之【大鳳】ウサギ【小物】,星名 詠美,PVC&ABS製塗装済完成品提灯はLED内蔵により点灯可能 ※LEDの点灯にはボタン型電池が必要です（電池別売）,Alter,https://alter-web.jp/products/540/,https://alter-web.jp/blog_alter/2023/264/
ブレマートン　アクションクルーズVer.,アズールレーン,AZUR LANEUSS Bremerton,2024年2月発売,"27,280円（税抜24,800円）",1/7 スケール 全高：約280mm（台座含む）,田中 冬志原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/538/,https://alter-web.jp/blog_alter/2023/260/
渡辺 曜,ラブライブ！スクールアイドルフェスティバル ALL STARS,LoveLive! School Idol Festival All StarsWatanabe You,2024年2月発売,"28,380円（税抜25,800円）",1/7 スケール 全高：約230mm,飛田 崇文,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/534/,https://alter-web.jp/blog_alter/2023/258/
津島 善子,ラブライブ！スクールアイドルフェスティバル,LoveLive! School Idol FestivalTsushima Yoshiko,2024年2月発売再販2020年5月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約240mm,柳生 敏之,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/250/,"https://alter-web.jp/blog_alter/2023/258/,https://alter-web.jp/blog_alter/2019/144/"
パーシュース　ナーセリー勤務タイムVer.,アズールレーン,AZUR LANEHMS Perseus,2024年5月発売,"30,580円（税抜27,800円）",1/7 スケール 全高：約210mm,目出ル金原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/541/,https://alter-web.jp/blog_alter/2023/263/
大鳳　春の暁に鳳歌うVer.,アズールレーン,AZUR LANEIJN Taihou,2024年3月発売,"38,280円（税抜34,800円）",1/7 スケール 全高：約250mm（台座含む）,ヤドカリ＋DUTCH＋柳生 敏之【大鳳】ウサギ【小物】,星名 詠美,PVC&ABS製塗装済完成品提灯はLED内蔵により点灯可能 ※LEDの点灯にはボタン型電池が必要です（電池別売）,Alter,https://alter-web.jp/products/540/,https://alter-web.jp/blog_alter/2023/264/
ブレマートン　アクションクルーズVer.,アズールレーン,AZUR LANEUSS Bremerton,2024年2月発売,"27,280円（税抜24,800円）",1/7 スケール 全高：約280mm（台座含む）,田中 冬志原型協力：アルター,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/538/,https://alter-web.jp/blog_alter/2023/260/
渡辺 曜,ラブライブ！スクールアイドルフェスティバル ALL STARS,LoveLive! School Idol Festival All StarsWatanabe You,2024年2月発売,"28,380円（税抜25,800円）",1/7 スケール 全高：約230mm,飛田 崇文,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/534/,https://alter-web.jp/blog_alter/2023/258/
津島 善子,ラブライブ！スクールアイドルフェスティバル,LoveLive! School Idol FestivalTsushima Yoshiko,2024年2月発売再販2020年5月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約240mm,柳生 敏之,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/250/,"https://alter-web.jp/blog_alter/2023/258/,https://alter-web.jp/blog_alter/2019/144/"
コルネリア,ソフィーのアトリエ ～不思議な本の錬金術士～,Atelier Sophie ~The Alchemist of the Mysterious Book~Corneria,2024年1月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約220mm,明田川 昇,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/539/,https://alter-web.jp/blog_alter/2023/262/
ライダー／紫式部,Fate/Grand Order,Fate/Grand OrderRider/Murasaki Shikibu,2024年1月発売,"38,280円（税抜34,800円）",1/6 スケール 全長：約270mm,jarel,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/537/,https://alter-web.jp/blog_alter/2023/261/
間桐 桜　マキリの杯Ver.,劇場版「Fate/stay night [Heaven's Feel]」,Fate/stay night [Heaven's Feel]Matou Sakura,2023年12月発売,"33,880円（税抜30,800円）",1/7 スケール 全高：約300mm（台座含む）,沼倉 としあき,星名 詠美彩色協力：アルター,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/536/,https://alter-web.jp/blog_alter/2023/259/
冬坂 五百里,十三機兵防衛圏,13 SENTINELS: AEGIS RIMIori Fuyusaka,2023年12月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約260mm（台座含む）,稲垣 洋,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/533/,https://alter-web.jp/blog_alter/2022/254/
ランサー／謎のアルターエゴ・Λ,Fate/Grand Order,Fate/Grand OrderLancer/Mysterious Alter Ego Λ,2023年11月発売,"31,680円（税抜28,800円）",1/7 スケール 全高：約250mm,sai,鉄森 七方,PVC&ABS製塗装済完成品サングラス姿が再現可能、リヴァイアサン付属,Alter,https://alter-web.jp/products/535/,https://alter-web.jp/blog_alter/2022/256/
ポーラ　水辺のハプニング？Ver.,アズールレーン,AZUR LANERN Pola,2023年11月発売,"18,480円（税抜16,800円）",1/7 スケール 全高：約160mm,みさいる,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/527/,https://alter-web.jp/blog_alter/2022/248/
愛宕＆高雄　レースクイーンVer.,アズールレーン,AZUR LANEIJN Atago & IJN Takao,2023年10月発売,"40,480円（税抜36,800円）",1/7 スケール 全高：約250mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品※セット仕様です。単体展示はできません。,Alter,https://alter-web.jp/products/530/,https://alter-web.jp/blog_alter/2022/250/
愛宕　凄艶のマックススピードVer.,アズールレーン,AZUR LANEIJN Atago,2023年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約250mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/528/,https://alter-web.jp/blog_alter/2022/250/
高雄　魅惑のフルドライブVer.,アズールレーン,AZUR LANEIJN Takao,2023年10月発売,"20,680円（税抜18,800円）",1/7 スケール 全高：約250mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/529/,https://alter-web.jp/blog_alter/2022/250/
ルプスレギナ・ベータ　so-bin Ver.,オーバーロード,OVERLORDLupusregina β,2023年9月発売,"25,080円（税抜22,800円）",1/8 スケール 全高：約280mm（武器／台座含む）,たなか☆せんう,渡邊 恭大,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/514/,https://alter-web.jp/blog_alter/2022/234/
愛宕　真夏の行進曲Ver.,アズールレーン,AZUR LANEIJN Atago,2023年9月発売再販2020年6月発売,"22,880円（税抜20,800円）",1/7 スケール 全高：約240mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/245/,"https://alter-web.jp/blog_alter/2022/255/,https://alter-web.jp/blog_alter/2019/138/"
高雄　砂浜ラプソディVer.,アズールレーン,AZUR LANEIJN Takao,2023年9月発売再販2020年10月発売,"17,380円（税抜15,800円）",1/7 スケール 全高：約180mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/255/,"https://alter-web.jp/blog_alter/2022/255/,https://alter-web.jp/blog_alter/2019/151/"
ボルチモア　エースの放課後Ver.,アズールレーン,AZUR LANEUSS Baltimore,2023年9月発売,"22,880円（税抜20,800円）",1/7 スケール 全高：約250mm,田中 冬志,けん彩色協力：アルター,PVC&ABS製塗装済完成品表情は２種が再現可能,Alter,https://alter-web.jp/products/531/,https://alter-web.jp/blog_alter/2022/251/
ライザ（ライザリン・シュタウト）,ライザのアトリエ ～常闇の女王と秘密の隠れ家～,Atelier Ryza: Ever Darkness & the Secret HideoutReisalin Stout,2023年9月発売,"23,980円（税抜21,800円）",1/7 スケール 全高：約240mm,みさいる,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/524/,https://alter-web.jp/blog_alter/2022/249/
シュヴァルツ　昇進２Ver.,アークナイツ,ARKNIGHTSSchwarz,2023年9月発売,"45,980円（税抜41,800円）",1/7 スケール 全高：約400mm（武器／台座含む）,飛田 崇文【シュヴァルツ】ウサギ【武器】,鉄森 七方,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/523/,https://alter-web.jp/blog_alter/2022/242/
吾妻　語らいの春霞Ver.,アズールレーン,AZUR LANEIJN Azuma,2023年8月発売,"31,680円（税抜28,800円）",1/7 スケール 全高：約180mm（棚含む）,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品棚は鏡へ差し替え可能 衣装は２種再現可能,Alter,https://alter-web.jp/products/526/,https://alter-web.jp/blog_alter/2022/241/
吾妻　語らいの春霞 軽装Ver.,アズールレーン,AZUR LANEIJN Azuma,2023年8月発売,"25,080円（税抜22,800円）",1/7 スケール 全高：約170mm,槙尾 宗利,星名 詠美,PVC&ABS製塗装済完成品,Alter,https://alter-web.jp/products/525/,https://alter-web.jp/blog_alter/2022/241/
ムーンキャンサー／BB　南国小麦色Ver.,Fate/Grand Order,Fate/Grand OrderMoonCancer/BB,2023年7月発売,"30,580円（税抜27,800円）",1/8 スケール 全高：約290mm（台座含む）,sai原型協力：アルター,星名 詠美,PVC&ABS製塗装済完成品表情は２種が再現可能,Alter,https://alter-web.jp/products/517/,https://alter-web.jp/blog_alter/2022/231/
